muttype	features	mean	upper	lower
C_to_A.nonCpG	DHS	0.23767242	0.4403623893857002	0.038927914947271346
C_to_A.nonCpG	CpGisland	-0.3093897	0.26359210833907126	-0.9710975930094718
C_to_A.nonCpG	Lamin	0.45108795	0.6481387332081795	0.2568095952272415
C_to_A.nonCpG	GC	-0.14657289	0.048641263972967815	-0.3493115797638893
C_to_A.nonCpG	RT	-0.004722108	0.3040970385074615	-0.32219427525997163
C_to_A.nonCpG	RR	0.048130717	0.22483436018228528	-0.1258862480521202
C_to_A.nonCpG	Exon	0.07079958	0.2463174384087324	-0.12752701379358766
C_to_A.nonCpG	H3K27ac	-0.07166972	0.15536558255553243	-0.3291783332824707
C_to_A.nonCpG	H3K27me3	0.1433226	0.33660993054509153	-0.04417533576488495
C_to_A.nonCpG	H3K36me3	0.03855894	0.2767983317375183	-0.1938909262418747
C_to_A.nonCpG	H3K4me1	-0.032983862	0.20699570886790747	-0.28166594356298447
C_to_A.nonCpG	H3K4me3	0.20242783	0.42411087080836296	-0.02024281192570925
C_to_A.nonCpG	H3K9ac	-0.021536466	0.19404427632689464	-0.2350636538118124
C_to_A.nonCpG	H3K9me3	0.33194184	0.5334354802966118	0.1284571334719658
C_to_A.nonCpG	intercept	7.604253	7.825927484035492	7.381727242469788
A_to_G	DHS	0.025825167	0.15575085915625095	-0.10624688602983952
A_to_G	CpGisland	-0.19179003	0.33470547348260865	-0.7791168570518493
A_to_G	Lamin	0.21318623	0.3284484624862671	0.09683284014463425
A_to_G	GC	0.04620195	0.16047737821936606	-0.06699785999953747
A_to_G	RT	0.06444713	0.28661552593111983	-0.15216800048947335
A_to_G	RR	0.15628664	0.27511991858482354	0.038764177821576595
A_to_G	Exon	0.07679233	0.20618273541331286	-0.06790122985839843
A_to_G	H3K27ac	-0.003732725	0.16366521231830117	-0.1763080008327961
A_to_G	H3K27me3	0.12906872	0.2510218612849712	0.00630545997992158
A_to_G	H3K36me3	0.065319344	0.22088109403848644	-0.09285668190568686
A_to_G	H3K4me1	0.0058602374	0.17097620666027066	-0.16398180462419987
A_to_G	H3K4me3	0.28970256	0.4284169547259806	0.14960452392697335
A_to_G	H3K9ac	0.15106505	0.2964707113802433	0.009041019016876817
A_to_G	H3K9me3	0.09563489	0.22445760667324066	-0.03458755137398839
A_to_G	intercept	7.74054	7.856989884376526	7.621780264377594
C_to_G.CpG	DHS	0.3488923	0.9418199300765989	-0.06345478314906358
C_to_G.CpG	CpGisland	1.1199049	2.1298451840877535	0.04607738247141242
C_to_G.CpG	Lamin	0.02210004	0.5360470086336135	-0.5015618085861206
C_to_G.CpG	GC	0.258445	0.966326768696308	-0.1725561685860157
C_to_G.CpG	RT	0.017736541	0.4743839241564272	-0.42758340761065483
C_to_G.CpG	RR	0.05084244	0.40457035675644865	-0.26227249428629873
C_to_G.CpG	Exon	-0.06136565	0.25235274657607076	-0.46277851834893224
C_to_G.CpG	H3K27ac	-0.016304933	0.3337968900799749	-0.38409086465835574
C_to_G.CpG	H3K27me3	0.02772257	0.43841882050037373	-0.3706913135945797
C_to_G.CpG	H3K36me3	0.13888541	0.6189892187714575	-0.2284998558461666
C_to_G.CpG	H3K4me1	-0.033943336	0.3515446484088896	-0.4457988381385803
C_to_G.CpG	H3K4me3	0.058631495	0.5207542493939398	-0.3919079855084419
C_to_G.CpG	H3K9ac	0.16909583	0.6530258208513257	-0.1938314910978079
C_to_G.CpG	H3K9me3	-0.09070859	0.3756569743156432	-0.6196600362658501
C_to_G.CpG	intercept	4.9668097	5.574696433544159	4.199757087230682
C_to_A.CpG	DHS	0.16775885	0.6048218190670013	-0.19606284573674201
C_to_A.CpG	CpGisland	1.8680453	2.604757684469223	1.090889772772789
C_to_A.CpG	Lamin	-0.14646287	0.3224454686045645	-0.6587079018354416
C_to_A.CpG	GC	0.2945279	1.0032172799110413	-0.1361605916172266
C_to_A.CpG	RT	-0.02378864	0.40238645449280735	-0.48467626944184306
C_to_A.CpG	RR	0.01065856	0.3321691893041134	-0.2979440651834011
C_to_A.CpG	Exon	-0.0014977349	0.2782879427075386	-0.3201828345656395
C_to_A.CpG	H3K27ac	0.025003176	0.36824394315481185	-0.2989024415612221
C_to_A.CpG	H3K27me3	0.04317046	0.42201657220721245	-0.32309677451848984
C_to_A.CpG	H3K36me3	0.19912139	0.6680355653166771	-0.15079092904925345
C_to_A.CpG	H3K4me1	0.14518039	0.597300262749195	-0.19616004936397075
C_to_A.CpG	H3K4me3	0.01765458	0.44915339946746813	-0.4026160717010498
C_to_A.CpG	H3K9ac	0.12085949	0.5396755754947662	-0.22360940910875798
C_to_A.CpG	H3K9me3	-0.0052243965	0.43696139976382253	-0.4617234542965889
C_to_A.CpG	intercept	5.1130877	5.665729713439942	4.41417977809906
C_to_T.CpG	DHS	0.018436296	0.16714231222867965	-0.1314173135906458
C_to_T.CpG	CpGisland	-0.37808004	-0.033124085981398994	-0.7446486696600914
C_to_T.CpG	Lamin	0.03149272	0.1868350889533758	-0.12746515609323977
C_to_T.CpG	GC	0.050894972	0.22555117458105087	-0.11629595030099153
C_to_T.CpG	RT	0.066289425	0.3179832831025123	-0.17245568297803401
C_to_T.CpG	RR	0.07750635	0.2211272150278091	-0.06236573383212089
C_to_T.CpG	Exon	0.0794198	0.19724942706525325	-0.0533362396992743
C_to_T.CpG	H3K27ac	-0.01293421	0.17332543730735778	-0.20430947728455065
C_to_T.CpG	H3K27me3	0.16735956	0.3160410597920418	0.018631566455587747
C_to_T.CpG	H3K36me3	0.18687184	0.36636877357959746	0.01388348129112274
C_to_T.CpG	H3K4me1	-0.0023669782	0.18504618071019646	-0.19092707969248293
C_to_T.CpG	H3K4me3	0.060896467	0.23553863763809205	-0.11454708129167557
C_to_T.CpG	H3K9ac	0.13735662	0.3068965211510658	-0.02672608233988285
C_to_T.CpG	H3K9me3	0.32218975	0.490830098837614	0.1547498472034931
C_to_T.CpG	intercept	6.887433	7.070082592964172	6.704041147232056
C_to_G.nonCpG	DHS	0.09508521	0.28671425059437744	-0.08996825106441975
C_to_G.nonCpG	CpGisland	-0.9677731	-0.2540320113301277	-1.8387527465820312
C_to_G.nonCpG	Lamin	0.38574517	0.5740828961133957	0.19488602094352245
C_to_G.nonCpG	GC	-0.14559351	0.04815245401114218	-0.34106023609638214
C_to_G.nonCpG	RT	-0.06435123	0.22615756504237647	-0.4036140277981758
C_to_G.nonCpG	RR	0.042087495	0.2179187484085559	-0.1308792643249035
C_to_G.nonCpG	Exon	0.12878738	0.281733027100563	-0.04407588243484497
C_to_G.nonCpG	H3K27ac	0.053138003	0.28725614994764315	-0.16780726686120032
C_to_G.nonCpG	H3K27me3	0.12336915	0.30990953817963596	-0.06058603897690773
C_to_G.nonCpG	H3K36me3	0.16943364	0.4053775161504745	-0.043396234326064584
C_to_G.nonCpG	H3K4me1	0.16697912	0.4172524474561214	-0.060084353946149346
C_to_G.nonCpG	H3K4me3	0.116364434	0.33650646060705175	-0.1062919596210122
C_to_G.nonCpG	H3K9ac	-0.045118857	0.1566186144948005	-0.2559863694012165
C_to_G.nonCpG	H3K9me3	0.08706258	0.29300040751695633	-0.12021443750709294
C_to_G.nonCpG	intercept	7.993795	8.201955771446228	7.78027731180191
A_to_C	DHS	0.18007597	0.4138659633696079	-0.049047838617116216
A_to_C	CpGisland	-0.32471952	0.5779927477240562	-1.4085183292627335
A_to_C	Lamin	0.21061179	0.43886890858411787	-0.013659297628328203
A_to_C	GC	0.046067327	0.2571972213685512	-0.1618255242705345
A_to_C	RT	0.18449046	0.5817372813820837	-0.1335475631058216
A_to_C	RR	0.15306711	0.37034307047724724	-0.040043610334396365
A_to_C	Exon	0.032842267	0.2566691927611827	-0.21710049621760844
A_to_C	H3K27ac	0.16546436	0.4752730391919612	-0.08507685977965593
A_to_C	H3K27me3	0.23319343	0.46674130782485007	0.009295428590849043
A_to_C	H3K36me3	0.03290184	0.295203336328268	-0.22796545177698135
A_to_C	H3K4me1	-0.008881782	0.26159337982535363	-0.28845973014831544
A_to_C	H3K4me3	0.2529732	0.5125667899847031	0.001285231934161858
A_to_C	H3K9ac	0.1344907	0.3857619941234588	-0.09895108472555876
A_to_C	H3K9me3	0.10535865	0.3509891659021377	-0.14173612594604493
A_to_C	intercept	7.5562615	7.784056770801544	7.3195608258247375
A_to_T	DHS	-0.011361886	0.22769525833427903	-0.25881965830922127
A_to_T	CpGisland	-0.14960894	0.779983840882778	-1.2525909543037415
A_to_T	Lamin	0.41618618	0.6497655883431435	0.189009203389287
A_to_T	GC	-0.07727144	0.13493952527642242	-0.2950653448700905
A_to_T	RT	-0.11972243	0.2107366021722555	-0.5524783372879029
A_to_T	RR	0.07378023	0.28799358457326885	-0.12395189888775349
A_to_T	Exon	0.076164916	0.29379015490412713	-0.1647314101457596
A_to_T	H3K27ac	-0.016846858	0.24495100229978561	-0.2950274869799614
A_to_T	H3K27me3	0.2392556	0.48328838869929314	0.006700424407608809
A_to_T	H3K36me3	0.04850364	0.3190489754080772	-0.21802246272563935
A_to_T	H3K4me1	0.19877528	0.516096931695938	-0.07591509595513343
A_to_T	H3K4me3	0.104976565	0.3692314699292183	-0.15543200001120566
A_to_T	H3K9ac	0.20297651	0.47553000971674914	-0.04459023578092455
A_to_T	H3K9me3	0.17900203	0.42198399826884264	-0.05983865186572075
A_to_T	intercept	7.5909677	7.821032035350799	7.35272649526596
C_to_T.nonCpG	DHS	0.11708715	0.2417594987899065	-0.0061767069855704895
C_to_T.nonCpG	CpGisland	-0.8881017	-0.5288751423358917	-1.2710053026676178
C_to_T.nonCpG	Lamin	0.28615835	0.40778710544109337	0.16121689602732658
C_to_T.nonCpG	GC	-0.26766294	-0.13287563212215908	-0.40349690765142443
C_to_T.nonCpG	RT	0.016590467	0.23450464643537997	-0.20980072990059853
C_to_T.nonCpG	RR	0.061822318	0.1804594986140728	-0.05541877895593643
C_to_T.nonCpG	Exon	-0.2167432	-0.03925411449745299	-0.43364654630422594
C_to_T.nonCpG	H3K27ac	-0.06448204	0.0993899382650852	-0.23863402791321278
C_to_T.nonCpG	H3K27me3	0.06819904	0.1935587752610445	-0.05522548900917172
C_to_T.nonCpG	H3K36me3	0.11912481	0.26953641995787614	-0.028466010419651862
C_to_T.nonCpG	H3K4me1	0.16988653	0.33684286400675767	0.009532042476348581
C_to_T.nonCpG	H3K4me3	0.21744768	0.35633906722068787	0.07720223981887103
C_to_T.nonCpG	H3K9ac	0.08359272	0.22546609006822108	-0.054321596864610903
C_to_T.nonCpG	H3K9me3	0.30386823	0.43385620713233947	0.17105909548699855
C_to_T.nonCpG	intercept	7.499082	7.63802090883255	7.357189679145813
